Titre,Lien,Description,Type du bulletin,Date publication bulletin anssi,Editeur,Produits impactés,Versions concernés,CVE,CWE,CWE Description,CVSS Score,CVSS Severity,EPSS
Multiples vulnérabilités dans Google Android (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0004/,"De multiples vulnérabilités ont été découvertes dans Google Android. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",Avis,2025-01-06,Google,Android,"Android versions antérieures à 12, 12L, 13, 14 et 15 avant le correctif du 5 janvier 2025",CVE-2024-45553,CWE-416,CWE-416 Use After Free,7.8,High,0.000430000
Multiples vulnérabilités dans Google Android (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0004/,"De multiples vulnérabilités ont été découvertes dans Google Android. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",Avis,2025-01-06,Google,Android,"Android versions antérieures à 12, 12L, 13, 14 et 15 avant le correctif du 5 janvier 2025",CVE-2024-43704,CWE-668,CWE-668 Exposure of Resource to Wrong Sphere,Non disponible,Non disponible,0.000430000
Multiples vulnérabilités dans Google Android (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0004/,"De multiples vulnérabilités ont été découvertes dans Google Android. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",Avis,2025-01-06,Google,Android,"Android versions antérieures à 12, 12L, 13, 14 et 15 avant le correctif du 5 janvier 2025",CVE-2024-20140,CWE-787,CWE-787 Out-of-bounds Write,Non disponible,Non disponible,0.000430000
Multiples vulnérabilités dans Google Android (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0004/,"De multiples vulnérabilités ont été découvertes dans Google Android. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",Avis,2025-01-06,Google,Android,"Android versions antérieures à 12, 12L, 13, 14 et 15 avant le correctif du 5 janvier 2025",CVE-2024-20144,CWE-787,CWE-787 Out-of-bounds Write,Non disponible,Non disponible,0.000430000
Multiples vulnérabilités dans Google Android (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0004/,"De multiples vulnérabilités ont été découvertes dans Google Android. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",Avis,2025-01-06,Google,Android,"Android versions antérieures à 12, 12L, 13, 14 et 15 avant le correctif du 5 janvier 2025",CVE-2024-34722,Non disponible,Elevation of privilege,Non disponible,Non disponible,0.000460000
Multiples vulnérabilités dans Google Android (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0004/,"De multiples vulnérabilités ont été découvertes dans Google Android. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",Avis,2025-01-06,Google,Android,"Android versions antérieures à 12, 12L, 13, 14 et 15 avant le correctif du 5 janvier 2025",CVE-2024-20145,CWE-787,CWE-787 Out-of-bounds Write,Non disponible,Non disponible,0.000430000
Multiples vulnérabilités dans Google Android (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0004/,"De multiples vulnérabilités ont été découvertes dans Google Android. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",Avis,2025-01-06,Google,Android,"Android versions antérieures à 12, 12L, 13, 14 et 15 avant le correctif du 5 janvier 2025",CVE-2024-20105,CWE-787,CWE-787 Out-of-bounds Write,Non disponible,Non disponible,0.000430000
Multiples vulnérabilités dans Google Android (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0004/,"De multiples vulnérabilités ont été découvertes dans Google Android. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",Avis,2025-01-06,Google,Android,"Android versions antérieures à 12, 12L, 13, 14 et 15 avant le correctif du 5 janvier 2025",CVE-2024-20143,CWE-787,CWE-787 Out-of-bounds Write,Non disponible,Non disponible,0.000430000
Multiples vulnérabilités dans Google Android (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0004/,"De multiples vulnérabilités ont été découvertes dans Google Android. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",Avis,2025-01-06,Google,Android,"Android versions antérieures à 12, 12L, 13, 14 et 15 avant le correctif du 5 janvier 2025",CVE-2024-21464,CWE-120,CWE-120 Buffer Copy Without Checking Size of Input ('Classic Buffer Overflow'),8.4,High,0.000430000
Multiples vulnérabilités dans Google Android (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0004/,"De multiples vulnérabilités ont été découvertes dans Google Android. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",Avis,2025-01-06,Google,Android,"Android versions antérieures à 12, 12L, 13, 14 et 15 avant le correctif du 5 janvier 2025",CVE-2024-45558,CWE-126,CWE-126 Buffer Over-read,7.5,High,0.000460000
Multiples vulnérabilités dans Google Android (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0004/,"De multiples vulnérabilités ont été découvertes dans Google Android. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",Avis,2025-01-06,Google,Android,"Android versions antérieures à 12, 12L, 13, 14 et 15 avant le correctif du 5 janvier 2025",CVE-2024-20146,CWE-787,CWE-787 Out-of-bounds Write,Non disponible,Non disponible,0.000430000
Multiples vulnérabilités dans Google Android (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0004/,"De multiples vulnérabilités ont été découvertes dans Google Android. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",Avis,2025-01-06,Google,Android,"Android versions antérieures à 12, 12L, 13, 14 et 15 avant le correctif du 5 janvier 2025",CVE-2024-20148,CWE-787,CWE-787 Out-of-bounds Write,Non disponible,Non disponible,0.000430000
Multiples vulnérabilités dans Google Android (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0004/,"De multiples vulnérabilités ont été découvertes dans Google Android. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",Avis,2025-01-06,Google,Android,"Android versions antérieures à 12, 12L, 13, 14 et 15 avant le correctif du 5 janvier 2025",CVE-2024-20154,CWE-121,CWE-121 Stack Overflow,Non disponible,Non disponible,0.000430000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2023-21938,Non disponible,"Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE, Oracle GraalVM Enterprise Edition.  Successful attacks of this vulnerability can result in  unauthorized update, insert or delete access to some of Oracle Java SE, Oracle GraalVM Enterprise Edition accessible data.",3.7,Low,0.000490000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2023-21937,Non disponible,"Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE, Oracle GraalVM Enterprise Edition.  Successful attacks of this vulnerability can result in  unauthorized update, insert or delete access to some of Oracle Java SE, Oracle GraalVM Enterprise Edition accessible data.",3.7,Low,0.000490000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2022-31163,CWE-22,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),7.5,High,0.002980000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2023-40373,CWE-20,CWE-20 Improper Input Validation,5.3,Medium,0.002390000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2024-45590,CWE-405,CWE-405: Asymmetric Resource Consumption (Amplification),7.5,High,0.000460000
